Player,grupo_posicional,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Mikel Vesga,Pivote,-3.2488562998932697,0.380603614986975,-0.38835576731054977,0.7612403362952294,-0.8639903731552824,1.5700703209266342,0.33021253252105215,-0.9834390751148714,-0.5214884075790419
Yvan Neyou,Pivote,-3.1793389275548667,1.3149363419288336,-0.3595198144550449,1.0898175471031861,-0.6757183483493309,-3.097038871832606,0.07678007844296071,0.47363010860906235,1.8345829819868316
Marc Casado,Pivote,-1.8164212435663232,0.14322234586398896,1.141890802333386,0.09544517047188977,-0.6950835842713992,-1.2775223560098143,-0.8248604386296223,0.4920928829493812,1.220561910750811
Nicolas Fonseca,Pivote,-2.6943337478488196,1.5913950635752772,-0.17680461432740527,2.156794541799821,-0.21533340814643814,0.48890310249657454,0.09214930465997755,0.24807763503471822,-0.5801021326770173
Iker Muñoz,Pivote,-1.028649624445752,0.5472362507180298,1.1492651562941403,1.8473400555413837,1.6776385256036426,-1.0579196583798596,2.3434865967946608,0.0012812677583231395,1.1212577663666419
Raúl,Pivote,5.2956721157899045,0.09096328969607494,0.7102204499822984,-1.031709057012017,1.3059220611089084,-0.3623136678809645,-0.10742288808087658,-0.31255022486632367,0.1581380566283109
Marc Bernal,Pivote,3.8809039111611243,1.0020950420610963,-1.3507182564884368,1.7213984858963112,-1.686780574687968,0.198979431108058,-1.150557808581891,0.2930471491854217,-0.16296552083905783
Baptiste Santamaria,Pivote,3.7553589123463094,-0.47976827801872735,-0.25161860651820844,0.15901691265256293,-0.5890707993582557,-1.813075625541542,0.7003779433565092,-0.021197122739289424,-0.16231080099083459
Charles Pickel,Pivote,3.174603268420064,3.1817033819076643,-1.0707250665444765,-2.0910804546729955,3.192729504561653,-0.44041533092149876,-0.7545945977697183,0.5508805429758823,0.06975833110834305
Thomas Partey,Pivote,-2.407426395301364,-1.0320908675762868,-0.2139850539282326,-0.34869220669532286,1.347519416125397,0.4671614966984162,0.9437283921653127,-0.381996107316615,0.5237121717158774
Nemanja Gudelj,Pivote,1.4038463127311562,-0.5515681713290767,-1.133648434057252,0.807775595865024,1.4713908847911765,-0.5620817138305221,-0.3744022999212925,0.15508687927031425,0.00984697038039998
Axel Witsel,Pivote,1.5917176957691799,2.8169876717216726,-0.49436181933142787,-3.0427657234670784,0.7669363276128908,-0.4202755421898462,0.6199943550500254,0.02421027212065192,0.6153638979876934
Marc Aguado,Pivote,1.7137582407020788,-0.7735216052863081,-2.0418004062358293,-0.7006227362617553,-1.5520764689378983,0.312995810109138,0.17483758545190708,-0.17481098796594713,0.609076398572104
José Luis García Vayá,Pivote,0.5517567046985163,-0.9437742420441794,-0.7379585593179557,-0.0411191863633734,0.38784490167684216,-0.6567174624068784,0.07425112465329138,-0.932787008540543,-1.7929741564871582
