Player,grupo_posicional,similar_1,score_1,similar_2,score_2,similar_3,score_3,similar_4,score_4,similar_5,score_5,similar_6,score_6,similar_7,score_7,similar_8,score_8,similar_9,score_9,similar_10,score_10,similar_11,score_11,similar_12,score_12,similar_13,score_13,similar_14,score_14,similar_15,score_15
Diego Morcillo,Delantero centro,Uchenna Ogundu,0.9838,Mattia Mosconi,0.9373,Joselu Pérez,0.9322,Otto Stange,0.907,Milan Đurić,0.8915,Abdón Prats,0.8339,Ugo Lamare,0.8183,Mourad El Ghezouani,0.8131,Zoumana Diallo,0.8033,Lorenzo Colombo,0.8025,Christantus Uche,0.802,Jan Urbich,0.8018,Jon Karrikaburu,0.7994,Jessic Ngankam,0.797,Liam Delap,0.7938
Carlos Espí,Delantero centro,Joaquín Panichelli,0.9696,Ermedin Demirović,0.9165,Andrea Belotti,0.9059,Gianluca Scamacca,0.904,Orri Steinn Óskarsson,0.9029,Abdoulie Ceesay,0.8907,Cristhian Stuani,0.8751,Noam Obougou Jacquet,0.8722,Ricky-Jade Jones,0.8638,Taiwo Awoniyi,0.862,Zian Flemming,0.8619,Christian Kofane,0.8613,Paul Mendy,0.8611,Eddie Nketiah,0.8587,William Osula,0.8556
Gerard Moreno,Delantero centro,Jonathan Burkardt,0.951,Tosin Aiyegun,0.9244,Gonzalo García,0.921,Julián Vignolo,0.9173,Erling Haaland,0.9057,Ferrán Torres,0.8826,Georges Mikautadze,0.8773,Eli Junior Kroupi,0.8747,Amine Gouiri,0.8746,Patrik Schick,0.8694,Stefan Schimmer,0.865,Dženan Pejčinović,0.8629,Pierre-Emerick Aubameyang,0.8602,Callum Wilson,0.8602,Grant Ranos,0.8578
Joselu Pérez,Delantero centro,Mattia Mosconi,0.9992,Milan Đurić,0.9682,Diego Morcillo,0.9322,Zoumana Diallo,0.9223,Uchenna Ogundu,0.9196,Jan Urbich,0.9184,Jessic Ngankam,0.9181,Ugo Lamare,0.9145,Louis Buffon,0.9114,Giuseppe Ambrosino,0.9114,Mourad El Ghezouani,0.8434,Abdón Prats,0.8217,Zeki Amdouni,0.8128,Idrissa Guèye,0.811,Jeremy Arévalo,0.7863
Lucas Beltrán,Delantero centro,Keke Topp,0.9587,Adrian Benedyczak,0.8791,Sandro Kulenović,0.8765,Otto Stange,0.8675,Randal Kolo Muani,0.8646,Joshua King,0.8497,Amady Camara,0.8446,Daniel Mosquera,0.8404,Florian Sotoca,0.8275,Roberto Férnandez,0.8275,Ezequiel Ávila,0.7993,Igor Jesus,0.795,Benedict Hollerbach,0.7887,Marc Domenech,0.7792,Marvin Pieringer,0.7643
Pablo Durán,Delantero centro,José Luis Morales,0.93,Shuto Machino,0.8315,Nelson Weiper,0.8187,Ransford Königsdörffer,0.8057,Rodrigo Ribeiro,0.7938,Matias Fernandez-Pardo,0.7329,Tim Skarke,0.7054,Hwang Hee-chan,0.6891,Abel Ruiz,0.6832,Patrick Cutrone,0.6694,Mateo Joseph,0.6576,Stefano Moreo,0.6561,Joshua King,0.6509,Ezequiel Ávila,0.633,Adrian Benedyczak,0.6293
Ibrahim Diabaté,Delantero centro,Eliezer Mayenda,0.9048,Chris Wood,0.812,Thierno Barry,0.7688,Andreas Hountondji,0.7437,Vladyslav Vanat,0.7145,Semih Kılıçsoy,0.7047,Kenny Quetant,0.703,Esteban Lepaul,0.6904,Henrik Meister,0.6686,Jonas Wind,0.6179,Willem Geubbels,0.6172,Boulaye Dia,0.6045,Dominic Solanke,0.6032,Damion Downs,0.5891,Hugo Duro,0.5703
Cédric Bakambu,Delantero centro,Nikola Krstović,0.946,Deniz Undav,0.911,Taiwo Awoniyi,0.9106,Kiké,0.8931,Andrea Belotti,0.883,Orri Steinn Óskarsson,0.8733,Ragnar Ache,0.8692,Hamza Igamane,0.8637,Elye Wahi,0.8565,Nouha Dicko,0.8556,Sambou Soumano,0.8515,Ricky-Jade Jones,0.85,Harry Kane,0.85,Emanuel Emegha,0.8406,Charalampos Kostoulas,0.8321
Thiago Borbas,Delantero centro,Ashley Barnes,0.9155,Kevin Carlos,0.913,Mariano,0.8909,Liam Delap,0.8667,Mbwana Samatta,0.864,Santi Franco,0.8338,Luca Moro,0.8205,Ihlas Bebou,0.8088,Brian Madjo,0.7978,Samuel Essende,0.7845,Gorka Carrera,0.7696,Roberto Piccoli,0.7695,Damián Pizarro,0.7631,Christantus Uche,0.7568,Santiago Giménez,0.7527
Abel Ruiz,Delantero centro,Christian Kouamé,0.9109,Patrick Cutrone,0.9037,Petar Ratkov,0.9031,Joël Piroe,0.8821,Edin Džeko,0.8702,Matteo Lavelli,0.8582,Álex Forés,0.8487,Amady Camara,0.8485,Sasa Kalajdzic,0.843,Faris Pemi Moumbagna,0.8382,Ali Yousuf,0.8349,Fynn Schenten,0.8234,Nelson Weiper,0.8133,Callum Marshall,0.81,Lanroy Machine,0.8094
